Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	TIM3uffreqParameter.1	TIM3uffreqParameter.2	TIM3uffreqParameter.3	TIM3uffreqParameter.4	RateAC-Standard_TIM3uf	RateAG-Standard_TIM3uf	RateAT-Standard_TIM3uf	RateCG-Standard_TIM3uf	RateCT-Standard_TIM3uf	RateGT-Standard_TIM3uf	clockRate	popSize	CoalescentConstant	proportionInvariant	
629	-11596.85290404935	-11476.380856695234	-120.47204735411735	-11476.380856695234	60.18644320326462	366.21841204469763	0.30379021294348774	0.20263521336768672	0.2505883449584893	0.24298622873033615	0.08026439800490036	2.0641330131426963	0.3258487460728226	0.08026439800490036	3.1236406987018572	0.3258487460728226	2.0211982097067218E-4	53.48449391517644	-94.93677803489258	0.8322331399742489	
630	-11598.478735857949	-11476.37729362388	-122.10144223406881	-11476.37729362388	65.15006642692222	393.47491446598536	0.3037914014821896	0.19482458681458129	0.25432919485049443	0.2470548168527346	0.11889281436654474	2.199574503758966	0.26880242051973785	0.11889281436654474	3.0250350264684682	0.26880242051973785	1.8713547909804805E-4	47.96732483668433	-96.28151667710688	0.8322331399742489	
631	-11608.314895045634	-11476.364392626538	-131.9505024190962	-11476.364392626538	86.77958698986305	546.4802905278591	0.30712761285292767	0.19860324561712214	0.25477147856869026	0.23949766296125988	0.08085663857454936	2.3340663910008588	0.2678348323252292	0.08085663857454936	2.9685506671995827	0.2678348323252292	1.332434318928507E-4	80.68245718597629	-103.83002119652876	0.8322331399742489	
632	-11607.672841305615	-11476.347222818646	-131.32561848696915	-11476.347222818646	95.11300248578246	577.3427745383653	0.3000008517124747	0.19860324561712214	0.25419326370362055	0.24720263896678255	0.0860273333911917	2.304335710520904	0.25353429036186803	0.0860273333911917	3.016541041972975	0.25353429036186803	1.332434318928507E-4	77.39613806695331	-103.24672154939802	0.8322331399742489	
633	-11604.245545113912	-11476.343088270523	-127.9024568433893	-11476.343088270523	77.11459529580641	445.99639303995826	0.29854044254101825	0.2042295136528761	0.26022675899701697	0.23700328480908872	0.06403975749449033	2.078697788462043	0.3914627019626277	0.06403975749449033	3.0102972926237204	0.3914627019626277	1.6435771227925683E-4	109.98871239864184	-100.58101153772922	0.7374185817667761	
634	-11602.050471251448	-11476.33632899565	-125.71414225579878	-11476.33632899565	72.76031981451912	450.3566127708091	0.3012758507930336	0.2042295136528761	0.26022675899701697	0.23426787655707337	0.06403975749449033	2.078697788462043	0.3914627019626277	0.06403975749449033	3.0102972926237204	0.3914627019626277	1.6435771227925683E-4	62.61418099619184	-98.95608291017136	0.7374185817667761	
635	-11602.050471251448	-11476.33632899565	-125.71414225579878	-11476.33632899565	72.76031981451912	450.3566127708091	0.3012758507930336	0.2042295136528761	0.26022675899701697	0.23426787655707337	0.06403975749449033	2.078697788462043	0.3914627019626277	0.06403975749449033	3.0102972926237204	0.3914627019626277	1.6435771227925683E-4	62.61418099619184	-98.95608291017136	0.7374185817667761	
636	-11598.07224010095	-11476.331531127886	-121.74070897306397	-11476.331531127886	62.50674540168954	374.66367441990064	0.30025518562815295	0.20403127643771699	0.247893979990808	0.24781955794332194	0.10681758507034192	2.1884675180086823	0.27050762047518573	0.10681758507034192	3.056882070900261	0.27050762047518573	1.8713547909804805E-4	67.91371138810759	-95.57306551343505	0.8322331399742489	
637	-11603.251606694135	-11476.307150054623	-126.94445663951271	-11476.307150054623	72.15933234230818	454.4218490979089	0.3012758507930336	0.20536789917151496	0.2590883734783781	0.23426787655707337	0.06403975749449033	2.07740474865258	0.3914627019626277	0.06403975749449033	3.011590332433183	0.3914627019626277	1.6435771227925683E-4	83.36047159666796	-99.90021484448329	0.7374185817667761	
638	-11603.251606694135	-11476.307150054623	-126.94445663951271	-11476.307150054623	72.15933234230818	454.4218490979089	0.3012758507930336	0.20536789917151496	0.2590883734783781	0.23426787655707337	0.06403975749449033	2.07740474865258	0.3914627019626277	0.06403975749449033	3.011590332433183	0.3914627019626277	1.6435771227925683E-4	83.36047159666796	-99.90021484448329	0.7374185817667761	
